slice,n,pos,raw.pr_auc,raw.roc_auc,raw.f1,raw.precision,raw.recall,raw.brier,raw.logloss,raw.ece,raw.threshold,raw.recall_at_p>=0.50,raw.threshold_at_p>=0.50,platt.pr_auc,platt.roc_auc,platt.f1,platt.precision,platt.recall,platt.brier,platt.logloss,platt.ece,platt.threshold,platt.recall_at_p>=0.50,platt.threshold_at_p>=0.50
GICS_Category=0,68,42,0.7920219824656234,0.6611721611721612,0.74,0.6379310344827587,0.8809523809523809,0.24471325780284858,0.692775825714555,0.16686695672140278,0.22596122926252113,1.0,0.06611269714537768,0.7920219824656234,0.6611721611721612,0.7636363636363637,0.6176470588235294,1.0,0.23251292568116427,0.6542950072433333,0.15806087130184415,0.22596122926252113,1.0,0.22875553293099898
GICS_Category=1,267,151,0.7913090527100266,0.7517698104590088,0.7493112947658402,0.6415094339622641,0.9006622516556292,0.20938102655956436,0.6249094873688317,0.09340516888151171,0.22596122926252113,1.0,0.03136294794632631,0.7913090527100266,0.7517698104590088,0.7254901960784313,0.5758754863813229,0.9801324503311258,0.2197555358568523,0.6481059089633225,0.1428010951721302,0.22596122926252113,1.0,0.13028154571074613
GICS_Category=10,50,30,0.6698737363495739,0.5233333333333333,0.759493670886076,0.6122448979591837,1.0,0.2695974857318622,0.7512280077579224,0.21004405830466472,0.22596122926252113,1.0,0.08161769913038497,0.6698737363495739,0.5233333333333333,0.75,0.6,1.0,0.2971175225908387,0.8871403310543649,0.23987199617779303,0.22596122926252113,1.0,0.26566110217304845
GICS_Category=11,12,5,0.4893939393939394,0.3142857142857143,0.4,0.3,0.6,0.3673685163071203,0.9702055550243496,0.4695837422181835,0.22596122926252113,0.2,0.7323537022992856,0.4893939393939394,0.3142857142857143,0.5882352941176471,0.4166666666666667,1.0,0.4256093569218487,1.1237212032483381,0.4964989334036208,0.22596122926252113,0.2,0.8782587731899943
GICS_Category=3,27,18,0.9553683574879228,0.888888888888889,0.8292682926829268,0.7391304347826086,0.9444444444444444,0.19297935393297508,0.5619677660448497,0.218843387756084,0.22596122926252113,1.0,0.10961730118057346,0.9553683574879228,0.888888888888889,0.8,0.6666666666666666,1.0,0.14742983746769836,0.4498956456031267,0.17653580800917593,0.22596122926252113,1.0,0.3247241975674047
GICS_Category=5,29,16,0.7375350730710637,0.6586538461538461,0.717948717948718,0.6086956521739131,0.875,0.2505077739404093,0.7213778626286612,0.28857879990637353,0.22596122926252113,1.0,0.04236700298590229,0.7375350730710637,0.6586538461538461,0.6976744186046512,0.5555555555555556,0.9375,0.24876113743171563,0.6935208321555183,0.29852216387534075,0.22596122926252113,1.0,0.16439704292071708
GICS_Category=6,46,34,0.8669650988971933,0.678921568627451,0.8533333333333334,0.7804878048780488,0.9411764705882353,0.25080533631480173,0.7219015859083259,0.3056393545726827,0.22596122926252113,1.0,0.02910921823174719,0.8669650988971933,0.678921568627451,0.8354430379746836,0.7333333333333333,0.9705882352941176,0.1864342125795617,0.5503627636362756,0.11897112720757748,0.22596122926252113,1.0,0.12285992040071345
GICS_Category=7,3,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.24963790970697275,0.709948187331153,0.08903601777971629,0.22596122926252113,0.0,0.5,0.3333333333333333,0.0,0.5,0.3333333333333333,1.0,0.28256667321840817,0.7586516750744726,0.5307714709625004,0.22596122926252113,0.0,0.5
GICS_Category=8,73,38,0.5898146806384243,0.5796992481203007,0.6597938144329897,0.5423728813559322,0.8421052631578947,0.2726897830036181,0.7610299064455504,0.21664212733752367,0.22596122926252113,1.0,0.031449400103302314,0.5898146806384243,0.5796992481203007,0.6909090909090909,0.5277777777777778,1.0,0.286095918242171,0.8264413208123752,0.22118524138849344,0.22596122926252113,1.0,0.13056300854278052
GICS_Category=9,44,19,0.727169366702751,0.7663157894736842,0.68,0.5483870967741935,0.8947368421052632,0.20126736522098107,0.5915527479601365,0.10604069943352953,0.22596122926252113,0.9473684210526315,0.17778620104922266,0.727169366702751,0.7663157894736842,0.6206896551724138,0.46153846153846156,0.9473684210526315,0.21901340519294432,0.6216698496899069,0.15877446397089987,0.22596122926252113,0.9473684210526315,0.44021378065295236
