feature,coefficient,abs_coefficient
cat__GICS_Category_7,-2.96018384304241,2.96018384304241
num__RetainedEarnings_TotalAssets,-1.8441114629834852,1.8441114629834852
cat__GICS_Category_10,1.7009311529488065,1.7009311529488065
num__CashFlow_TotalDebt,-0.5279461738994133,0.5279461738994133
cat__GICS_Category_9,-0.5076647498326599,0.5076647498326599
num__WorkingCapital_TotalAssets,-0.4372051771814833,0.4372051771814833
cat__GICS_Category_8,0.4115313147050603,0.4115313147050603
cat__GICS_Category_11,0.36062418254871165,0.36062418254871165
cat__GICS_Category_5,0.2830517567210518,0.2830517567210518
cat__GICS_Category_0,0.2614762137750634,0.2614762137750634
num__CurrentRatio,0.14925154499363563,0.14925154499363563
num__TotalDebt_TotalAssets,-0.1280150421403818,0.1280150421403818
cat__GICS_Category_6,0.10581665735758175,0.10581665735758175
cat__GICS_Category_3,-0.06597813668634822,0.06597813668634822
cat__GICS_Category_1,0.02675566734589773,0.02675566734589773
num__stock_prefix,-0.018474356394203348,0.018474356394203348
num__CashFlow_TotalDebt_miss,0.0,0.0
num__TotalDebt_TotalAssets_miss,0.0,0.0
num__RetainedEarnings_TotalAssets_miss,0.0,0.0
num__WorkingCapital_TotalAssets_miss,0.0,0.0
num__CurrentRatio_miss,0.0,0.0
