slice,n,pos,raw.pr_auc,raw.roc_auc,raw.f1,raw.precision,raw.recall,raw.brier,raw.logloss,raw.ece,raw.threshold,raw.recall_at_p>=0.50,raw.threshold_at_p>=0.50,platt.pr_auc,platt.roc_auc,platt.f1,platt.precision,platt.recall,platt.brier,platt.logloss,platt.ece,platt.threshold,platt.recall_at_p>=0.50,platt.threshold_at_p>=0.50
GICS_Category=0,137,45,0.6192554435754175,0.7282608695652174,0.5882352941176471,0.5263157894736842,0.6666666666666666,0.20656701604802558,0.6354802848269199,0.17476847507382065,0.4900075454015194,0.7111111111111111,0.4300420966113737,0.6192554435754175,0.7282608695652174,0.6136363636363636,0.627906976744186,0.6,0.18919431273334592,0.5946793493103647,0.10756086094512385,0.4900075454015194,0.7111111111111111,0.3313886394993935
GICS_Category=1,538,169,0.760658688749627,0.8461217748272157,0.7027027027027027,0.7134146341463414,0.6923076923076923,0.14170716873353098,0.4439473150694002,0.056855761984555775,0.4900075454015194,0.863905325443787,0.2544438480575563,0.760658688749627,0.8461217748272157,0.6263345195729537,0.7857142857142857,0.5207100591715976,0.139024517307178,0.43739524345404895,0.04882801175983448,0.4900075454015194,0.863905325443787,0.19313121369679068
GICS_Category=10,99,49,0.7372593675559453,0.7183673469387755,0.6666666666666666,0.5375,0.8775510204081632,0.26704103611145447,0.7476544448309739,0.22400790380181215,0.4900075454015194,1.0,0.03802960364473659,0.7372593675559453,0.7183673469387755,0.6833333333333333,0.5774647887323944,0.8367346938775511,0.23343195910591258,0.6587291379570245,0.16931789875807585,0.4900075454015194,1.0,0.03206428254222585
GICS_Category=11,23,4,0.7375,0.7763157894736842,0.42857142857142855,0.3,0.75,0.22127665770014368,0.6227131295460502,0.3138494566482129,0.4900075454015194,0.75,0.7604754470476154,0.7375,0.7763157894736842,0.5454545454545454,0.42857142857142855,0.75,0.16592364079336094,0.4947078169908761,0.2533382924544907,0.4900075454015194,0.75,0.6494080187296565
GICS_Category=3,52,12,0.6863636363636364,0.825,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.13718243759003132,0.4222593593384036,0.11144785666840669,0.4900075454015194,0.6666666666666666,0.41504984550944884,0.6863636363636364,0.825,0.5454545454545454,0.6,0.5,0.12553881534574368,0.39393733061418845,0.06566320270637324,0.4900075454015194,0.6666666666666666,0.3190182217833415
GICS_Category=5,57,20,0.7281731938229395,0.8162162162162162,0.6,0.6,0.6,0.16297567036219396,0.4747245766386886,0.09531212533046557,0.4900075454015194,0.95,0.22132406727797638,0.7281731938229395,0.8162162162162162,0.5142857142857142,0.6,0.45,0.160373106083729,0.46987076575913445,0.11294010669025573,0.4900075454015194,0.95,0.16831611033139288
GICS_Category=6,91,34,0.8005290246496516,0.8498452012383901,0.7567567567567568,0.7,0.8235294117647058,0.1601720981135192,0.5105169582862901,0.15055717545293748,0.4900075454015194,0.9117647058823529,0.2915736952867563,0.8005290246496516,0.8498452012383901,0.7272727272727273,0.75,0.7058823529411765,0.15046126156201095,0.4845868237313321,0.11821854197014715,0.4900075454015194,0.9117647058823529,0.22132610913511921
GICS_Category=8,147,50,0.5669912008209128,0.7041237113402061,0.5242718446601942,0.5094339622641509,0.54,0.2146420995004082,0.636766076911653,0.12804212851156857,0.4900075454015194,0.74,0.378050862719954,0.5669912008209128,0.7041237113402061,0.47191011235955055,0.5384615384615384,0.42,0.20513280467754885,0.61184420181477,0.08394635074191573,0.4900075454015194,0.74,0.2890055653111548
GICS_Category=9,85,11,0.7649924004939679,0.9508599508599509,0.631578947368421,0.75,0.5454545454545454,0.07030458334520101,0.2527613902353226,0.11226822019437908,0.4900075454015194,0.9090909090909091,0.29846277799198656,0.7649924004939679,0.9508599508599509,0.4,0.75,0.2727272727272727,0.06867219379274422,0.24005841234891145,0.09757129918260668,0.4900075454015194,0.9090909090909091,0.22660790255330523
