coid,mdate,tcri,scr,xcdt,company,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,產業別,GICS_Category
1104,2016-12-01,5,632.0,,1104 環泥,0.0515082940162167,0.3881629910135487,0.1718944683048755,0.1774604740154286,0.8831859408294817,11,0,0,0,0,0,水泥工業,9
1104,2017-12-01,5,585.0,,1104 環泥,0.0519678141112633,0.3894872735398702,0.1472402791948473,0.1755708823825628,0.8815767991104368,11,0,0,0,0,0,水泥工業,9
1104,2018-12-01,5,549.0,,1104 環泥,0.0272268316440087,0.3837949667966915,0.1194689591312202,0.1908479843040007,0.7799584805225881,11,0,0,0,0,0,水泥工業,9
1104,2019-12-01,5,549.0,,1104 環泥,0.0184346749522271,0.3856906558653571,0.132357485791527,0.2041070679964857,0.7484061607461645,11,0,0,0,0,0,水泥工業,9
1104,2020-12-01,5,612.0,,1104 環泥,0.0244352522581705,0.3905376554700669,0.1745596776427918,0.1993586972755936,0.7687592170731224,11,0,0,0,0,0,水泥工業,9
1104,2021-12-01,5,616.0,,1104 環泥,0.0298184749448746,0.3876823226467807,0.2166980728933643,0.2050710834487969,0.7788396017361228,11,0,0,0,0,0,水泥工業,9
1104,2022-12-01,5,657.0,,1104 環泥,0.0317528118787474,0.3901941073204942,0.1494344670648752,0.2037547473221149,0.7833754366000187,11,0,0,0,0,0,水泥工業,9
1104,2023-12-01,5,696.0,,1104 環泥,0.0933290526859252,0.4080857160545656,0.247667975853817,0.1785753984580956,0.9843490765153,11,0,0,0,0,0,水泥工業,9
1104,2024-12-01,5,688.0,,1104 環泥,0.1080378627625743,0.3951758763738215,0.3142611744206923,0.1608983667267449,1.061158215554461,11,0,0,0,0,0,水泥工業,9
1108,2014-12-01,7,443.0,,1108 幸福,0.3263811205885356,0.0590799946197042,0.2002841286010119,0.3703002156767947,1.218773540251525,11,0,0,0,0,0,水泥工業,9
1108,2015-12-01,6,502.0,,1108 幸福,0.3585779625747502,0.0886401599254749,0.2913792494129665,0.3243637283577214,1.349814690840624,11,0,0,0,0,0,水泥工業,9
1108,2016-12-01,6,405.0,,1108 幸福,0.3041513634612061,0.0860793573893378,0.0801679328065406,0.3225323597873755,1.117746541837539,11,0,0,0,0,0,水泥工業,9
1108,2017-12-01,7,259.0,,1108 幸福,0.3657659878570776,0.0482806574270329,0.0284476461058905,0.3279048203514545,1.297488312999413,11,0,0,0,0,0,水泥工業,9
1108,2018-12-01,7,242.0,,1108 幸福,0.3640070061756671,0.0247348243785966,0.0244009926258902,0.3509687215119826,1.346685615761567,11,0,0,0,0,0,水泥工業,9
1108,2019-12-01,7,307.0,,1108 幸福,0.3876214233201769,0.0361078990467103,0.083744595505959,0.3438896898754782,1.422092387721562,11,0,0,0,0,0,水泥工業,9
1108,2020-12-01,6,449.0,,1108 幸福,0.3295767231285574,0.0726628041674555,0.2206386274989733,0.3505620376361335,1.240308008540072,11,0,0,0,0,0,水泥工業,9
1108,2021-12-01,6,357.0,,1108 幸福,0.230595962831594,0.0718295833093335,0.0238935664830988,0.3522859343667388,0.9887161714850918,11,0,0,0,0,0,水泥工業,9
1108,2022-12-01,6,455.0,,1108 幸福,0.224451861826161,0.0937271615811304,0.1271145385526484,0.4002868513928949,0.992115905549204,11,0,0,0,0,0,水泥工業,9
1108,2023-12-01,6,458.0,,1108 幸福,0.2363467452882248,0.1010424653389769,0.1237247829393777,0.3997053499555447,1.031774379705239,11,0,0,0,0,0,水泥工業,9
1108,2024-12-01,6,441.0,,1108 幸福,0.1620647204498369,0.1058182363848426,0.1591704599059805,0.407373536431558,0.8923203395688388,11,0,0,0,0,0,水泥工業,9
1109,2014-12-01,6,541.0,,1109 信大,0.0951627424101692,0.1561354102579388,0.2412491102019872,0.2171377559272238,0.9177400605293156,11,0,0,0,0,0,水泥工業,9
1109,2015-12-01,6,462.0,,1109 信大,0.1540682339641528,0.1591542950307059,0.2031087317617996,0.2313830774726164,1.258230707986037,11,0,0,0,0,0,水泥工業,9
1109,2016-12-01,6,519.0,,1109 信大,0.1644799808024908,0.1667033438833465,0.232965802495222,0.2372894826169456,1.177690384431211,11,0,0,0,0,0,水泥工業,9
1109,2017-12-01,5,678.0,,1109 信大,0.2107517901182103,0.2116683487136994,0.285309671414726,0.1887584324064361,1.407332038276301,11,0,0,0,0,0,水泥工業,9
