slice,n,pos,raw.pr_auc,raw.roc_auc,raw.f1,raw.precision,raw.recall,raw.brier,raw.logloss,raw.ece,raw.threshold,raw.recall_at_p>=0.50,raw.threshold_at_p>=0.50,platt.pr_auc,platt.roc_auc,platt.f1,platt.precision,platt.recall,platt.brier,platt.logloss,platt.ece,platt.threshold,platt.recall_at_p>=0.50,platt.threshold_at_p>=0.50
GICS_Category=0,68,22,0.737435205517692,0.8507905138339921,0.6511627906976745,0.6666666666666666,0.6363636363636364,0.15345142679127544,0.4681707934332544,0.11839629504026034,0.3768640605530952,0.9545454545454546,0.2188974817693296,0.737435205517692,0.8507905138339921,0.6666666666666666,0.6521739130434783,0.6818181818181818,0.1546688653621496,0.4713029540260061,0.10959567775013733,0.3768640605530952,0.9545454545454546,0.19277211573441166
GICS_Category=1,267,77,0.7410155454478076,0.8242652084757347,0.6708860759493671,0.654320987654321,0.6883116883116883,0.1336539763044325,0.43069732912901637,0.057059264154420794,0.3768640605530952,0.8311688311688312,0.19365609371336123,0.7410155454478076,0.8242652084757347,0.6708074534161491,0.6428571428571429,0.7012987012987013,0.13254751202913553,0.42590757721475203,0.04489070804686554,0.3768640605530952,0.8311688311688312,0.16973679465649777
GICS_Category=10,50,21,0.6640459249835116,0.7569786535303777,0.6428571428571429,0.5142857142857142,0.8571428571428571,0.21507051281064019,0.627714384897584,0.1751951591322805,0.3768640605530952,1.0,0.29955479530529217,0.6640459249835116,0.7569786535303777,0.6428571428571429,0.5142857142857142,0.8571428571428571,0.23017001117151362,0.6815336639804616,0.1992293561830214,0.3768640605530952,1.0,0.28180269545971365
GICS_Category=11,12,1,1.0,1.0,0.4,0.25,1.0,0.15792464008622517,0.47438918993372514,0.3246773377898874,0.3768640605530952,1.0,0.7392682096630352,1.0,1.0,0.4,0.25,1.0,0.19816254136163167,0.587323440595865,0.340911618861406,0.3768640605530952,1.0,0.8546468744354526
GICS_Category=3,27,5,0.680952380952381,0.8545454545454545,0.6666666666666666,0.5714285714285714,0.8,0.11035189746967405,0.36399012187706437,0.13998614645075416,0.3768640605530952,0.8,0.3420593118147664,0.680952380952381,0.8545454545454545,0.6666666666666666,0.5714285714285714,0.8,0.11598640163184637,0.3766463122927355,0.1370947645915315,0.3768640605530952,0.8,0.33763270162035586
GICS_Category=5,29,9,0.7275372775372777,0.7944444444444445,0.5882352941176471,0.625,0.5555555555555556,0.15131710752919705,0.4732824783164982,0.14791828628660222,0.3768640605530952,0.8888888888888888,0.21107984200632765,0.7275372775372777,0.7944444444444445,0.5882352941176471,0.625,0.5555555555555556,0.15166201027922038,0.4662666658341901,0.16775580277966473,0.3768640605530952,0.8888888888888888,0.18539329721001072
GICS_Category=6,46,17,0.8511181091869946,0.8397565922920893,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.13186372217984013,0.4339198614617651,0.15303096319310278,0.3768640605530952,0.8235294117647058,0.20266012112007428,0.8511181091869946,0.8397565922920893,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.1252469367212708,0.41039651865387616,0.07830684727119683,0.3768640605530952,0.8235294117647058,0.17769230162347574
GICS_Category=8,73,22,0.4193414797053516,0.6408199643493762,0.4583333333333333,0.4230769230769231,0.5,0.2142174391358627,0.6239219891742308,0.06977909754710279,0.3768640605530952,0.2727272727272727,0.5746070021032603,0.4193414797053516,0.6408199643493762,0.4583333333333333,0.4230769230769231,0.5,0.22582622494389032,0.6598450195584618,0.1363626314716692,0.3768640605530952,0.2727272727272727,0.6808757004594211
GICS_Category=9,44,5,0.6295238095238094,0.9589743589743589,0.6,0.6,0.6,0.07477964113402293,0.2686724960849038,0.14656746725262232,0.3768640605530952,1.0,0.18528402028641944,0.6295238095238094,0.9589743589743589,0.6,0.6,0.6,0.07491637518587695,0.2803017531059166,0.1858633293390951,0.3768640605530952,1.0,0.1625963075276295
