slice,n,pos,raw.pr_auc,raw.roc_auc,raw.f1,raw.precision,raw.recall,raw.brier,raw.logloss,raw.ece,raw.threshold,raw.recall_at_p>=0.50,raw.threshold_at_p>=0.50,platt.pr_auc,platt.roc_auc,platt.f1,platt.precision,platt.recall,platt.brier,platt.logloss,platt.ece,platt.threshold,platt.recall_at_p>=0.50,platt.threshold_at_p>=0.50
GICS_Category=0,68,22,0.6731706009243974,0.7855731225296443,0.625,0.5769230769230769,0.6818181818181818,0.1683541703088753,0.5065636430642043,0.05115322650632674,0.31213512709362423,0.8181818181818182,0.22705295975474946,0.6731706009243974,0.7855731225296443,0.6382978723404256,0.6,0.6818181818181818,0.1701999483698896,0.5139611449962384,0.08363535800538299,0.31213512709362423,0.8181818181818182,0.2215146059274147
GICS_Category=1,267,77,0.7374320501147856,0.8439507860560492,0.6823529411764706,0.6236559139784946,0.7532467532467533,0.13389071598797378,0.4316756388694614,0.043542747899116524,0.31213512709362423,0.8441558441558441,0.18823163023280912,0.7374320501147856,0.8439507860560492,0.6785714285714286,0.6263736263736264,0.7402597402597403,0.13403668802675917,0.42817295333750754,0.043318709703330974,0.31213512709362423,0.8441558441558441,0.188512600588803
GICS_Category=10,50,21,0.6045675773547914,0.6798029556650247,0.6031746031746031,0.4523809523809524,0.9047619047619048,0.2534188347117703,0.7276911542006603,0.24158329896213215,0.31213512709362423,0.9047619047619048,0.3824803516770738,0.6045675773547914,0.6798029556650247,0.6129032258064516,0.4634146341463415,0.9047619047619048,0.2680429427744976,0.7592560302856842,0.2752184693440548,0.31213512709362423,0.9047619047619048,0.3906096910885254
GICS_Category=11,12,1,1.0,1.0,0.25,0.14285714285714285,1.0,0.18118553007672125,0.5147702659907823,0.34656506772327966,0.31213512709362423,1.0,0.7317655923660573,1.0,1.0,0.25,0.14285714285714285,1.0,0.21306769023231595,0.6031987942707134,0.37965556182229593,0.31213512709362423,1.0,0.7990348394627593
GICS_Category=3,27,5,0.6585281385281385,0.8909090909090909,0.6153846153846154,0.5,0.8,0.107596364191515,0.34292548609320017,0.11607449732590959,0.31213512709362423,0.8,0.33722497408213375,0.6585281385281385,0.8909090909090909,0.6153846153846154,0.5,0.8,0.11427060965395015,0.3723884629146409,0.16778567077108067,0.31213512709362423,0.8,0.33599118836155956
GICS_Category=5,29,9,0.7374579124579126,0.8222222222222222,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.14753504559056796,0.44033873898497744,0.08005763583731493,0.31213512709362423,0.8888888888888888,0.16760176056122866,0.7374579124579126,0.8222222222222222,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.15257549378707835,0.46049363759212125,0.10300942819964201,0.31213512709362423,0.8888888888888888,0.17257371629456558
GICS_Category=6,46,17,0.8642476886085988,0.8701825557809331,0.7777777777777778,0.7368421052631579,0.8235294117647058,0.13339793215140383,0.4305034821242398,0.15178820093542103,0.31213512709362423,0.9411764705882353,0.1563064958253913,0.8642476886085988,0.8701825557809331,0.7777777777777778,0.7368421052631579,0.8235294117647058,0.13245283224351756,0.4238700756372129,0.129803926009587,0.31213512709362423,0.9411764705882353,0.1643085308796321
GICS_Category=8,73,22,0.45207217901862695,0.6443850267379679,0.5098039215686274,0.4482758620689655,0.5909090909090909,0.22204167261674507,0.6619372936282607,0.13352333831921637,0.31213512709362423,0.36363636363636365,0.5228745466953677,0.45207217901862695,0.6443850267379679,0.5098039215686274,0.4482758620689655,0.5909090909090909,0.22372514340576743,0.657535631176679,0.18024807572683202,0.31213512709362423,0.36363636363636365,0.5717054238540761
GICS_Category=9,44,5,0.7595238095238095,0.9692307692307692,0.6,0.6,0.6,0.05780626110477507,0.1977832844046374,0.14530522592169826,0.31213512709362423,1.0,0.16499043940494224,0.7595238095238095,0.9692307692307692,0.6,0.6,0.6,0.06472514302377837,0.2407717291120825,0.18215203499348043,0.31213512709362423,1.0,0.17063412689408516
